Metric	Class	Class depth	LR	Positive Cases	Positive cases average depth	Positive cases average distance to LR class	Negative Cases	Negative cases average depth	Negative cases average distance to LR class	Metric Value	Hierarchy
Lexically suggest logically define	http://snomed.info/id/38112003	4	1	386	7.179	3.179	938	7.940	3.940	0.292	Qualifier value
Lexically suggest logically define	http://snomed.info/id/19338005	4	2	229	7.210	3.210	825	8.027	4.027	0.217	Qualifier value
Lexically suggest logically define	http://snomed.info/id/79605009	4	3	99	7.263	3.263	464	7.823	3.823	0.176	Qualifier value
Lexically suggest logically define	http://snomed.info/id/9362000	4	4	97	7.196	3.196	329	7.997	3.997	0.228	Qualifier value
Lexically suggest logically define	http://snomed.info/id/34001005	4	5	399	7.296	3.296	274	7.854	3.854	0.593	Qualifier value
Lexically suggest logically define	http://snomed.info/id/263925004	7	venous	1	8.000	1.000	787	7.799	1.440	0.001	Qualifier value
Lexically suggest logically define	http://snomed.info/id/277318003	7	m	0	NaN	NaN	354	8.390	1.621	0.000	Staging and scales
Lexically suggest logically define	http://snomed.info/id/300594005	8	resonance	0	NaN	NaN	813	7.475	1.005	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/3445001	4	10	573	7.209	3.209	149	7.550	3.550	0.794	Qualifier value
Lexically suggest logically define	http://snomed.info/id/732587006	4	20	344	7.235	3.235	59	7.542	3.542	0.854	Qualifier value
Lexically suggest logically define	http://snomed.info/id/732774003	4	50	470	7.243	3.243	19	8.053	4.053	0.961	Qualifier value
Lexically suggest logically define	http://snomed.info/id/21134002	5	disability	65	6.523	1.554	318	6.403	1.547	0.170	Clinical finding
Lexically suggest logically define	http://snomed.info/id/253861007	4	effect	0	NaN	NaN	598	6.590	2.594	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/255551008	6	posterior	3	7.000	1.000	1853	9.641	3.692	0.002	Qualifier value
Lexically suggest logically define	http://snomed.info/id/259051005	6	foot	0	NaN	NaN	1748	8.638	2.775	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/246176004	7	form	0	NaN	NaN	6519	5.737	1.351	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/18720000	6	in	0	NaN	NaN	12671	6.699	1.228	0.000	SNOMED CT Model Component
Lexically suggest logically define	http://snomed.info/id/373067005	5	no	0	NaN	NaN	955	7.337	2.457	0.000	Qualifier value
Lexically suggest logically define	http://snomed.info/id/38082009	7	hemoglobin	631	9.493	2.613	98	6.592	0.878	0.866	Substance
Lexically suggest logically define	http://snomed.info/id/420862001	5	on	0	NaN	NaN	4821	6.873	1.910	0.000	Qualifier value
