File	Metric	Value
20150131	Lexically suggest logically define	0.279
20150131	Systematic naming	0.171
20150131	Number of classes	312921.000
20150131	Names per class	2.071
20150131	Names per property	1.902
20150131	Names per annotation property	0.000
20150131	Names per data property	NaN
20150131	Names per object property	2.000
20150131	Synonyms per class	0.537
20150131	Synonyms per property	0.085
20150131	Synonyms per annotation property	0.000
20150131	Synonyms per data property	NaN
20150131	Synonyms per object property	0.090
20150131	Descriptions per class	0.003
20150131	Descriptions per property	0.195
20150131	Descriptions per annotation property	0.000
20150131	Descriptions per data property	NaN
20150131	Descriptions per object property	0.205
20120731	Lexically suggest logically define	0.276
20120731	Systematic naming	0.177
20120731	Number of classes	296372.000
20120731	Names per class	2.070
20120731	Names per property	1.851
20120731	Names per annotation property	0.000
20120731	Names per data property	NaN
20120731	Names per object property	1.968
20120731	Synonyms per class	0.537
20120731	Synonyms per property	0.090
20120731	Synonyms per annotation property	0.000
20120731	Synonyms per data property	NaN
20120731	Synonyms per object property	0.095
20120731	Descriptions per class	0.002
20120731	Descriptions per property	0.000
20120731	Descriptions per annotation property	0.000
20120731	Descriptions per data property	NaN
20120731	Descriptions per object property	0.000
20140131	Lexically suggest logically define	0.275
20140131	Systematic naming	0.179
20140131	Number of classes	298519.000
20140131	Names per class	2.070
20140131	Names per property	1.881
20140131	Names per annotation property	0.000
20140131	Names per data property	NaN
20140131	Names per object property	2.000
20140131	Synonyms per class	0.549
20140131	Synonyms per property	0.090
20140131	Synonyms per annotation property	0.000
20140131	Synonyms per data property	NaN
20140131	Synonyms per object property	0.095
20140131	Descriptions per class	0.003
20140131	Descriptions per property	0.000
20140131	Descriptions per annotation property	0.000
20140131	Descriptions per data property	NaN
20140131	Descriptions per object property	0.000
20190131	Lexically suggest logically define	0.295
20190131	Systematic naming	0.171
20190131	Number of classes	349430.000
20190131	Names per class	2.067
20190131	Names per property	1.935
20190131	Names per annotation property	0.000
20190131	Names per data property	NaN
20190131	Names per object property	2.000
20190131	Synonyms per class	0.529
20190131	Synonyms per property	0.057
20190131	Synonyms per annotation property	0.000
20190131	Synonyms per data property	NaN
20190131	Synonyms per object property	0.059
20190131	Descriptions per class	0.016
20190131	Descriptions per property	0.341
20190131	Descriptions per annotation property	0.000
20190131	Descriptions per data property	NaN
20190131	Descriptions per object property	0.353
20130731	Lexically suggest logically define	0.279
20130731	Systematic naming	0.179
20130731	Number of classes	298756.000
20130731	Names per class	2.070
20130731	Names per property	1.881
20130731	Names per annotation property	0.000
20130731	Names per data property	NaN
20130731	Names per object property	2.000
20130731	Synonyms per class	0.540
20130731	Synonyms per property	0.090
20130731	Synonyms per annotation property	0.000
20130731	Synonyms per data property	NaN
